hash    	name                                                        	batch                         	cracked   	status   	pr
625b5b86	BorderColor                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
2189347e	BorderGroup                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
dbd3d5f3	BossCharacter                                               	pre-ledger-backlog            	2026-07-20	pending  	-
f31c8cd4	BossData                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
56b00b47	BossName                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
76ecf423	BotDifficultyLevel                                          	pre-ledger-backlog            	2026-07-20	pending  	-
61c10808	BotSpellTag                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
5c83cddd	BottomGroup                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
4154c75c	BoundsRegion                                                	pre-ledger-backlog            	2026-07-20	pending  	-
ae8418d9	BountyGroup                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
ba83bc27	BountyValue                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
cf85d043	Buddies                                                     	pre-ledger-backlog            	2026-07-20	pending  	-
5e5ae1f7	BuddiesGrid                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
ec2d0720	BuffCaster                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
b3a67af3	BuffCount                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
6ce00bf0	BuffCounter                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
d6b6109c	BuffLink                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
d21ec815	BuffTarget                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
885aa2aa	BuffVars                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
f61e9624	ButtonTarget                                                	pre-ledger-backlog            	2026-07-20	pending  	-
6166b756	Calculation                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
dabb5d78	CameraDamping                                               	pre-ledger-backlog            	2026-07-20	pending  	-
e1fb2076	CameraMass                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
41dfbe54	CameraPos                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
4e3b1910	CameraRes                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
480698c7	CameraStiffness                                             	pre-ledger-backlog            	2026-07-20	pending  	-
5793fe9f	CameraUpdater                                               	pre-ledger-backlog            	2026-07-20	pending  	-
56215037	CardRegion                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
7aef16a8	Caret                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
c62ec87b	CaretOffset                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
a3dafbbb	CarouselButton                                              	pre-ledger-backlog            	2026-07-20	pending  	-
9165a7c4	CastAction                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
03bd33b1	CastE                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
00bd2ef8	CastF                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
9541ad14	CastItem1                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
9841b1cd	CastItem2                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
9741b03a	CastItem3                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
9241a85b	CastItem4                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
9141a6c8	CastItem5                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
9441ab81	CastItem6                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
14bd4e74	CastR                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
591f8423	CastRangeOverride                                           	pre-ledger-backlog            	2026-07-20	pending  	-
bd509cb6	CastRequirements                                            	pre-ledger-backlog            	2026-07-20	pending  	-
e7e90aee	CastShadow                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
3a3c1fee	CastType                                                    	pre-ledger-backlog            	2026-07-20	pending  	-
11bd49bb	CastW                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
1558b9d3	CenterText                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
65b78965	CeremonyLink                                                	pre-ledger-backlog            	2026-07-20	pending  	-
4f0e44f5	ChampionsLayout                                             	pre-ledger-backlog            	2026-07-20	pending  	-
04681146	ChaosSequence                                               	pre-ledger-backlog            	2026-07-20	pending  	-
13a1bb9a	CharacterProbe                                              	pre-ledger-backlog            	2026-07-20	pending  	-
9bc68be3	ChatRegion                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
928eb9b4	CheatList                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
d1519ad2	CheckMark                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
1418c47f	Chroma                                                      	pre-ledger-backlog            	2026-07-20	pending  	-
c3a944e7	ChromaData                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
debd7dbe	ClientData                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
e6f743fc	ClippingGuard                                               	pre-ledger-backlog            	2026-07-20	pending  	-
72729cf8	ClockDefinition                                             	pre-ledger-backlog            	2026-07-20	pending  	-
8d57d389	ClosedPing                                                  	pre-ledger-backlog            	2026-07-20	pending  	-
3c475337	ClosestDistance                                             	pre-ledger-backlog            	2026-07-20	pending  	-
eb8dc96c	Coc                                                         	pre-ledger-backlog            	2026-07-20	pending  	-
095a8cab	ColorScales                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
a74bc193	ColorTexture                                                	pre-ledger-backlog            	2026-07-20	pending  	-
c170f95e	ColumnCount                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
4e748038	CombatGroup                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
a2e2709c	CommandFinisherAnimation                                    	pre-ledger-backlog            	2026-07-20	pending  	-
6173f330	CommonLoadable                                              	pre-ledger-backlog            	2026-07-20	pending  	-
8760c87a	CompareUnit                                                 	pre-ledger-backlog            	2026-07-20	pending  	-
b7a1ea38	CompleteBorder                                              	pre-ledger-backlog            	2026-07-20	pending  	-
d77ad395	CompleteColor                                               	pre-ledger-backlog            	2026-07-20	pending  	-
6b8663cf	CompleteIcon                                                	pre-ledger-backlog            	2026-07-20	pending  	-
5efd6ee0	Component                                                   	pre-ledger-backlog            	2026-07-20	pending  	-
49412a59	ComponentOverrides                                          	pre-ledger-backlog            	2026-07-20	pending  	-
d1edd5db	Comps                                                       	pre-ledger-backlog            	2026-07-20	pending  	-
a3383d13	Concept                                                     	pre-ledger-backlog            	2026-07-20	pending  	-
7c8a1308	ConceptObject                                               	pre-ledger-backlog            	2026-07-20	pending  	-
9eb3235e	ConditionData                                               	pre-ledger-backlog            	2026-07-20	pending  	-
0e13846e	ConditionOperator                                           	pre-ledger-backlog            	2026-07-20	pending  	-
